domain,score,domain_pop,backlinks,wikipedia_links,archive_first_year,archive_captures,other_tlds_registered,majestic_rank,whois_created,length,sources
nandomichelin.com,47.2,62,1013,0,2002,103,0,0,2025,13,core2
rtnagel.com,47.2,15,1000,0,2011,23,3,0,2025,7,tldreg
accahelp.com,47.2,59,120,0,2004,202,0,0,2025,8,short
makkalsanthai.com,47.1,64,14313,0,2008,145,1,0,2025,13,"core2,tf"
ofertebune.com,47.1,59,159,0,2006,100,3,0,2025,10,tldreg
lesstentors.com,47.0,13,47,2,2011,86,0,0,2024,11,wiki
utfrussia.com,47.0,13,73,2,2014,164,0,0,2025,9,wiki
oyunsu.com,47.0,59,138,0,2006,205,1,0,2025,6,short
acasella.com,46.9,12,24,0,2008,40,2,0,2025,8,tldreg
manipon.com,46.9,60,101,0,2004,191,0,0,2025,7,short
leeddaily.com,46.8,19,407,1,2011,165,0,0,2024,9,wiki
clangroups.com,46.7,74,379,0,2004,236,0,0,2025,10,"core2,tf"
sudsav.com,46.7,67,163,0,2006,87,1,0,2025,6,"core2,short,tf"
readerline.com,46.6,79,23,0,1999,64,0,0,2017,10,core1
nycrophone.com,46.6,12,160,1,2010,83,1,0,2024,10,wiki
igsinfo.com,46.6,11,22,0,2008,42,2,0,2025,7,tldreg
betelhem.com,46.6,60,132,0,2005,274,0,0,2024,8,short
ibbetsonusa.com,46.5,69,10394,0,2007,242,0,0,2025,11,"core2,tf"
buildinglebow.com,46.5,60,328,2,2010,100,0,0,2025,13,wiki
kesads.com,46.4,294,265,0,2012,94,0,0,2025,6,"core1,short"
fhtube.com,46.4,58,123,0,2008,195,2,0,2025,6,"tldreg,short"
elfnan.com,46.4,61,142,0,2005,190,0,0,2025,6,short
allvisainfo.com,46.3,62,1616,0,2004,180,0,0,2023,11,core2
meghapatil.com,46.1,152,1019,0,2011,227,0,0,2025,10,"core1,tf"
mjroh.com,46.1,74,30081,0,2009,84,0,0,2025,5,"core2,short,tf"
espiegles.com,46.0,15,1561,0,2010,139,2,0,2025,9,tldreg
vedsystems.com,46.0,13,22,0,2007,103,2,0,2025,10,tldreg
